	blast_score	multiblast_score	n_hits	normalized_score	qry_cluster	qry_gene	qry_gene_end	qry_gene_start	qry_gene_strand	qry_genes_len	qry_strain	ref_cluster	ref_genes_len	ref_strain	svg
2394	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	76543	76109	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2395	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	71553	70471	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2396	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	68933	67335	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2397	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	59884	53884	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2398	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	52573	50903	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2399	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	49479	48133	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2400	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	46872	45902	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2401	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	45075	43362	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2402	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	41868	40345	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2403	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	EAU30210	39208	38162	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2404	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	37801	36414	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2405	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	35074	34405	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2406	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	34069	33223	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2407	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	32373	31000	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2408	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	30625	28545	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2409	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	24864	24517	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2410	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	23463	22271	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2411	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	20900	19095	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2412	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	18442	14094	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2413	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	9922	8058	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2414	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	7484	2327	-1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2415	351	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	1058	1	1	1	antismash_GCA_001630395	CH476607.1.region002	8	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_9
2424	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	78360	76755	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2425	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	76543	76109	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2426	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	71553	70471	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2427	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	68933	67335	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2428	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	EAU30201	59884	53884	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2429	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	52573	50903	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2430	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	49479	48133	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2431	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	46872	45902	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2432	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	45075	43362	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2433	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	41868	40345	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2434	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	39208	38162	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2435	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	37801	36414	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2436	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	35074	34405	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2437	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	34069	33223	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2438	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	32373	31000	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2439	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	30625	28545	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2440	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	24864	24517	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2441	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	23463	22271	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2442	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	20900	19095	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2443	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	18442	14094	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2444	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	9922	8058	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2445	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	7484	2327	-1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2446	523	1.0	1	0.043478260869565216	LWBM01000023.1.region001	nohomolog	1058	1	1	1	antismash_GCA_001630395	CH476607.1.region002	15	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_8
2462	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	78360	76755	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2463	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	76543	76109	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2464	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	71553	70471	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2465	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	68933	67335	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2466	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	59884	53884	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2467	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	EAU36861	52573	50903	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2468	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	49479	48133	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2469	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	46872	45902	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2470	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	45075	43362	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2471	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	41868	40345	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2472	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	39208	38162	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2473	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	37801	36414	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2474	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	35074	34405	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2475	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	EAU36857	34069	33223	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2476	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	32373	31000	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2477	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	30625	28545	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2478	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	24864	24517	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2479	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	23463	22271	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2480	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	20900	19095	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2481	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	18442	14094	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2482	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	9922	8058	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2483	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	7484	2327	-1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2484	111	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	1058	1	1	2	antismash_GCA_001630395	CH476596.1.region001	11	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_7
2496	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	78360	76755	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2497	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	76543	76109	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2498	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	71553	70471	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2499	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	68933	67335	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2500	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	59884	53884	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2501	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	EAU33873	52573	50903	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2502	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	49479	48133	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2503	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	46872	45902	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2504	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	45075	43362	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2505	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	41868	40345	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2506	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	39208	38162	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2507	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	37801	36414	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2508	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	35074	34405	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2509	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	34069	33223	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2510	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	32373	31000	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2511	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	30625	28545	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2512	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	24864	24517	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2513	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	23463	22271	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2514	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	EAU33874	20900	19095	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2515	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	18442	14094	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2516	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	9922	8058	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2517	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	7484	2327	-1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2518	193	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	1058	1	1	2	antismash_GCA_001630395	CH476601.1.region003	14	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_6
2519	X	X	X	X	X	EAU33881	46459	45548	-1	X	NIH	CH476601.1.region003	X	NIH	X
2520	X	X	X	X	X	EAU33880	44982	42683	-1	X	NIH	CH476601.1.region003	X	NIH	X
2521	X	X	X	X	X	EAU33879	41726	40125	1	X	NIH	CH476601.1.region003	X	NIH	X
2522	X	X	X	X	X	EAU33878	36875	34143	1	X	NIH	CH476601.1.region003	X	NIH	X
2523	X	X	X	X	X	EAU33877	33420	31558	1	X	NIH	CH476601.1.region003	X	NIH	X
2524	X	X	X	X	X	EAU33876	30120	29143	-1	X	NIH	CH476601.1.region003	X	NIH	X
2525	X	X	X	X	X	EAU33875	28553	28137	1	X	NIH	CH476601.1.region003	X	NIH	X
2526	X	X	X	X	X	EAU33874	27634	20001	1	X	NIH	CH476601.1.region003	X	NIH	X
2527	X	X	X	X	X	EAU33873	18855	17542	-1	X	NIH	CH476601.1.region003	X	NIH	X
2528	X	X	X	X	X	EAU33872	15072	14042	-1	X	NIH	CH476601.1.region003	X	NIH	X
2529	X	X	X	X	X	EAU33871	12559	12311	1	X	NIH	CH476601.1.region003	X	NIH	X
2530	X	X	X	X	X	EAU33870	10812	9909	-1	X	NIH	CH476601.1.region003	X	NIH	X
2531	X	X	X	X	X	EAU33869	9173	7538	-1	X	NIH	CH476601.1.region003	X	NIH	X
2532	X	X	X	X	X	EAU33868	6719	4871	-1	X	NIH	CH476601.1.region003	X	NIH	X
2533	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	78360	76755	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2534	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	76543	76109	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2535	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	71553	70471	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2536	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	68933	67335	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2537	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	59884	53884	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2538	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	52573	50903	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2539	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	49479	48133	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2540	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	46872	45902	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2541	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	45075	43362	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2542	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	41868	40345	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2543	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	39208	38162	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2544	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	EAU36366	37801	36414	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2545	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	35074	34405	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2546	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	34069	33223	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2547	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	32373	31000	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2548	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	30625	28545	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2549	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	24864	24517	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2550	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	23463	22271	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2551	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	EAU36364	20900	19095	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2552	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	18442	14094	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2553	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	9922	8058	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2554	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	7484	2327	-1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2555	447	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	1058	1	1	2	antismash_GCA_001630395	CH476597.1.region003	17	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_5
2573	509	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	78360	76755	-1	2	antismash_GCA_001630395	CH476610.1.region001	13	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_4
2574	509	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	76543	76109	1	2	antismash_GCA_001630395	CH476610.1.region001	13	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_4
2575	509	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	71553	70471	-1	2	antismash_GCA_001630395	CH476610.1.region001	13	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_4
2576	509	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	68933	67335	1	2	antismash_GCA_001630395	CH476610.1.region001	13	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_4
2577	509	2.0	2	0.08695652173913043	LWBM01000023.1.region001	EAU29302	59884	53884	1	2	antismash_GCA_001630395	CH476610.1.region001	13	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_4
2578	509	2.0	2	0.08695652173913043	LWBM01000023.1.region001	nohomolog	52573	50903	-1	2	antismash_GCA_001630395	CH476610.1.region001	13	NIH	antismashGCA001630395/LWBM010000231region001/svg/clusterblast1_4
